School,TO?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th–75th Percentile,ACT Total 25th–75th Percentile
Cornell College,Yes,All / Permanent Policy,"Cornell College has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications, and to submit portfolios.",2836,81.1%,1130–1380,24–30
University of Portland,Yes,"2021, 2022, 2023",University of Portland has extended their temporary test optional policy to Fall 2023.,12044,81.19%,1160–1360,26–31
Illinois State,Yes,All / Permanent Policy,"Illinois State offers a test optional policy, which allows students to be considered for admission without standardized test scores.",15487,81.31%,1030–1210,21–26
University of Idaho,Yes*,"2021, 2022","The University of Idahos requires either the SAT or the ACT. However, Fall 2022 applicants may apply test-optional with a 2.6+ GPA. It does not require the optional ACT Writing Test.",9814,81.38%,1000–1210,20–28
St. Mary's College (IN),Yes,All / Permanent Policy,"Saint Mary's College has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, homeschooled students and international students are not eligible for test optional admission.",2411,81.5%,1065–1250,22–28
Kennesaw State University,Yes*,"2022, 2023, 2024","The University System of Georgia has announced that all institutions will resume test score admission requirements beginning with the Spring semester of 2022. Any student applying to a University System of Georgia school in 2022 and beyond will have to submit an SAT or ACT test score. However, students applying to Kennesaw State with a 3.2+ GPA may be considered without scores.",20806,81.59%,1060–1240,20–26
West Virginia University,Yes,All / Permanent Policy,"WVU has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores.",18639,81.61%,1050–1240,21–27
"University of Alaska, Anchorage",Yes,All / Permanent Policy,"University of Alaska, Anchorage offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",4352,81.87%,1020–1220,17–24
University of Mary Washington,Yes,All / Permanent Policy,"The University of Mary Washington offers a test optional policy, which allows students to petition to be considered for admission without SAT or ACT scores. However, students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.",5042,81.95%,1140–1320,26–31
Seattle University,Yes,All / Permanent Policy,"Seattle University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled applicants are not elligible for test optional admission.",8539,82.12%,1120–1320,24–31
Goucher College,Yes,All / Permanent Policy,"Goucher College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores.",2724,82.34%,1133–1333,26–30
Quinnipiac University,Yes,All / Permanent Policy,"Quinnipiac University offers a test optional policy, which allows most students applying to the College of Arts and Sciences, School of Business, School of Communications and School of Engineering to be considered for admission without SAT or ACT scores. Homeschooled students and students playing a Division I sport must provide test scores.",19787,82.43%,1080–1250,22–27
Simmons University,Yes,All / Permanent Policy,Simmons University offers a test optional policy.,2905,82.55%,1080–1250,24–29
Drexel University,Yes,"2021, 2022, 2023",Drexel has extended their temporary test optional policy to the 2022–23 admission cycle.,34519,82.63%,1210–1400,26–32
University of Arkansas—Fayetteville,Yes*,"2021, 2022, 2023","The University of Arkansas requires either the SAT or the ACT. Fall 2023 applicants with a 3.2+ GPA may apply test optional, however, they are required to submit scores for enrollment. It does not require the optional ACT Writing Test.",21462,82.67%,1050–1210,21–28
Ursinus College,Yes,All / Permanent Policy,"Ursinus College has a test-optional policy, which allows students to be considered for admissions without submitting SAT or ACT scores. However, homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.",3818,82.71%,1200–1350,27–32
Western Michigan University,Yes,All / Permanent Policy,"WMU offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",18853,82.81%,1000–1200,21–27
Siena College,Yes,All / Permanent Policy,"Siena College offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores. However, applicants must meet certain academic requirements to apply test optional. Additionally, applicants to select programs are not eligible for test optional admission.",8597,82.83%,1150–1300,26–30
University of Texas—Arlington,Yes,"2021, 2022","University of Texas, Arlington has extended their temporary test optional policy to the 2021–22 admission cycle.",12650,82.89%,1040–1250,20–27
University of Washington—Bothell,Yes,All / Permanent Policy,"The University of Washington—Bothell offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",4423,83.02%,1028–1283,19–31
Boise State,Yes (TF),All / Permanent Policy,"Boise State offers a test optional policy, which allows students to apply for admission without SAT/ACT scores. However, homeschooled students and students who attend non-accredited high schools are required to submit test scores.",15648,83.13%,—,—
University of St. Thomas (MN),Yes,All / Permanent Policy,"The University of St. Thomas offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",6718,83.16%,1160–1350,24–29
Michigan State University,Yes,All / Permanent Policy,"Michigan State offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",50630,83.25%,1110–1310,23–29
University of Nevada—Las Vegas,Yes*,All / Permanent Policy,"UNLV requires either the SAT or ACT, however, they will waive the requirement for students with a 3.0+ GPA. It does not require the optional ACT Writing Test.",13034,83.47%,990–1200,18–25
University of Akron,Yes,"2021, 2022",The University of Akron has extended their temporary test optional for the 2021–22 admission cycle.,11760,83.56%,950–1190,18–26
Oregon State University,Yes,All / Permanent Policy,"Oregon State University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",15786,83.59%,1080–1320,21–28
Point Loma Nazarene University,Yes,All / Permanent Policy,PLNU does not require an SAT or ACT score for admission. Some merit aid at PLNU does still require a test score to be awarded.,3060,83.66%,1190–1340,22–30
Washington and Jefferson College,Yes,All / Permanent Policy,"Washington and Jefferson College has a test-optional policy, which allows students to be considered for admission without submitting SAT or ACT scores.",3150,83.68%,1040–1290,21–31
Mills College,Yes,All / Permanent Policy,"Mills College offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.",848,83.84%,—,—
University of Utah,Yes,"2021, 2022, 2023, 2024","The University of Utah has extended their test optional policy to students applying through Fall 2024. However, students who have GEDs, who attend a non-accredited high school, or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.",20644,84%,1190–1380,22–30
Xavier University,Yes,All / Permanent Policy,"Xavier University offers a test optional policy, which allows students to be considered for admission without test scores. However, homeschooled students are not eligible for test optional admission.",15199,84.02%,1100–1290,22–28
San Francisco State University,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",31430,84.09%,940–1130,16–23
Samford University,Yes,"2021, 2022, 2023",Samford University has extended their temporary test optional policy to the Fall 2023 term.,3867,84.1%,1060–1230,23–29
Loyola University Maryland,Yes,All / Permanent Policy,"Loyola University Maryland offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students are not eligible for test optional admission.",9286,84.21%,1170–1350,27–30
University of North Texas,Yes*,"2021, 2022","University of North Texas requires either the SAT or ACT. However, they will waive this requirement for students with a 3.0+ GPA. It does not require the optional ACT Writing Test.",21308,84.35%,1050–1230,19–26
San Jose State University,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",30442,84.37%,1030–1310,20–31
Eastern Michigan University,Yes,"2021, 2022, 2023",Eastern Michigan University has extended their temporary test optional policy to Fall 2023.,17506,84.61%,950–1180,18–25
University of Cincinnati,Yes,"2021, 2022, 2023, 2024","The University of Cincinnati has extended its temporary test optional policy through Fall 2024. However, standardized test scores are still required for admission into some programs.",25949,84.93%,1160–1340,24–29
University of Oklahoma,Yes,"2021, 2022, 2023, 2024, 2025",University of Oklahoma has adopted a five-year test optional policy beginning with the 2020-21 admission cycle. Test scores are encouraged for scholarship consideration.,17318,85.23%,1150–1330,23–29
California State University—Chico,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",19990,85.32%,985–1180,18–24
The Catholic University of America,Yes (TF),All / Permanent Policy,"The Catholic University of America has adopted a test free policy, which means they will not consider SAT or ACT scores for admission.",5668,85.36%,1130–1330,24–29
Missouri University of Science & Technology,Yes,"2021, 2022, 2023",Missouri S&T has extended their temporary test optional policy to the 2022–23 admission cycle.,5533,85.4%,1330–1420,26–32
Michigan Technological University,Yes*,"2021, 2022","Michigan Technological University has extended their temporary test optional policy to the Fall 2022 semester. However, homeschooled students and students with a GPA below 3.0 may be asked to submit test scores.",8041,85.75%,1138–1320,25–31
Washington State University,Yes,All / Permanent Policy,"WSU offers a test free policy, which means they do not consider SAT/ACT scores as part of the admissions process.",18197,85.77%,1020–1240,18–25
St. Michael's College,Yes,All / Permanent Policy,"St. Michael's College has a test-optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, homeschooled applicants are not eligible for test optional admission.",2359,85.88%,1140–1300,26–28
University of Iowa,Yes,All / Permanent Policy,"University of Iowa is test optional, which means eligible students can apply for admission without SAT or ACT scores.",22434,86.21%,1140–1330,22–29
James Madison University,Yes,All / Permanent Policy,"James Madison University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",21176,86.25%,1150–1300,24–29
Marquette University,Yes,All / Permanent Policy,"Marquette University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores, to both domestic and international applicants.",16270,86.26%,1200–1350,25–30
Pacific Lutheran University,Yes,All / Permanent Policy,"Pacific Lutheran University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program, students interested in teaching, and international applicants strongly encouraged to submit scores.",3306,86.3%,1110–1290,23–29
The Citadel,Yes,"2021, 2022","The Citadel has extended their temporary test optional polcy to the 2021–22 admission cycle. However, students educated in a non-traditional setting and those seeking to participate in sports (unless waived by the NCAA) are required to submit scores.",2470,86.4%,1090–1240,22–28
Missouri State University,Yes*,All / Permanent Policy,"Missouri State University requires either the SAT or ACT, however, it will waive the requirement for students with a 3.25+ GPA. It does not require the optional ACT Writing Test.",9591,86.57%,1060–1200,21–27
University of California—Merced,Yes (TF),All / Permanent Policy,"The UC system offers a test free policy, meaning they will not consider SAT/ACT scores when making admissions decisions or awarding scholarships.",27795,86.6%,1140–1390,23–32
University of New Hampshire,Yes,All / Permanent Policy,"The University of New Hampshire offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, all Division 1 athletic recruits are required to submit standardized test scores.",20150,86.71%,1120–1290,25–31
Wheaton College (IL),Yes,"2021, 2022",Wheaton has extended their temporary test optional policy to the 2021–22 admission cycle.,1800,87%,1230–1430,26–32
University of South Dakota,Yes*,All / Permanent Policy,"University of South Dakota requires either the SAT or ACT. However, they will waive this requirement for students who have a 2.6+ GPA, rank in the top 50% of their class, or achieve a 3 or higher on the English Language Arts and Mathematics Smarter Balanced Assessments. It does not require the optional ACT Writing Test.",4271,87.01%,1050–1250,19–25
University of Arizona,Yes,All / Permanent Policy,"University of Arizona offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants to the UA Honors College, the College of Fine Arts, the College of Nursing, the College of Architecture, Planning and Landscape Architecture, and College of Engineering and homeschooled students are not eligible for test optional admission.",48202,87.13%,1140–1360,21–29
University of Texas—Dallas,Yes,"2021, 2022",University of Texas-Dallas has extended their temporary test optional policy to the Fall 2022 term.,18838,87.21%,1190–1410,25–32
Kent State,Yes,All / Permanent Policy,Kent State requires either the SAT or ACT. It does not require the optional ACT Writing Test.,19881,87.31%,1000–1200,19–25
Towson University,Yes,All / Permanent Policy,"Towson offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",11616,87.92%,1050–1210,21–26
Susquehanna University,Yes,All / Permanent Policy,"Susquehanna University offers a test optional policy, which allows applicants to be considered for admission without SAT or ACT scores.",4688,88.03%,1090–1250,22–28
California State University—Northridge,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",23656,88.1%,—,—
University of Mississippi,Yes*,"2021, 2022, 2023","Ole Miss has extended their temporary test optional policy for students with a 2.0+ GPA applying in the 2022–23 admission cycle. Although they are not requiring a standardized test score for admission for the 2023–24 academic year, ACT/SAT scores are still very important for scholarships, some aid programs and for academic placement.",16253,88.14%,1020–1250,21–29
Arizona State University,Yes*,All / Permanent Policy,"ASU requires either the SAT or ACT, however, it will waive this requirement for students with a 3.0+ GPA or who rank in the top 25% of their class. It does not require the optional ACT Writing Test.",61603,88.19%,—,—
University of Puget Sound,Yes,All / Permanent Policy,"Puget Sound offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, students who attend secondary schools that do not provide letter grades and homeschooled students are not eligible for test optional admission.",5025,88.3%,1150–1370,27–32
University of Nebraska—Lincoln,Yes*,All / Permanent Policy,"The University of Nebraska-Lincoln requires either the SAT or the ACT. However, it will waive this requriement for students with a 3.0+ GPA or who rank in the top half of their class. It does not require the optional ACT Writing Test.",17775,88.33%,1100–1310,22–28
Christopher Newport University,Yes*,All / Permanent Policy,"Christopher Newport University requires either the SAT or ACT, however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle, there is no minimum GPA for test optional admission.",6699,88.54%,1110–1210,25–27
Ohio University,Yes,All / Permanent Policy,"Ohio University has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores.",21733,88.55%,1070–1290,22–27
Miami University—Oxford,Yes,"2021, 2022, 2023, 2024, 2025",Miami Ohio has extended their temporary test optional policy to the 2024–25 admission cycle.,29990,88.6%,1180–1350,24–30
University of North Dakota,Yes,All / Permanent Policy,"University of North Dakota offers a test optional policy, which allows students to apply without SAT or ACT scores.",5962,89.03%,1120–1265,20–26
Colorado State University,Yes,All / Permanent Policy,"Colorado State University offers a test optional policy, which allows students to apply for admission without SAT or ACT scores.",31586,89.64%,1090–1280,23–29
Transylvania University,Yes,All / Permanent Policy,"Transylvania University has a test optional policy, which allows students to be considered for admission without submitting SAT or ACT scores. However, test optional applicants are strongly encouraged to visit the Transylvania campus for an in-depth interview.",1782,89.73%,1080–1350,23–30
George Mason University,Yes,All / Permanent Policy,"George Mason University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, students who major in computer science and engineering majors, home-schooled applicants, and students seeking to become a member of one of George Mason's NCAA intercollegiate athletics teams are not eligible for test optional admission. The Volgenau School of Engineering entering classes of 2020 and 2021 are exempt from the 550 SAT Math/24 ACT Math requirement.",20527,90.42%,1150–1340,25–30
"University of Texas, San Antonio",Yes,"2021, 2022, 2023","University of Texas, San Antonio has extended their temporary test optional policy to Fall 2023.",21726,90.5%,1030–1220,18–26
Georgia Southern University,Yes*,"2022, 2023, 2024","The University System of Georgia has announced that all institutions will resume test score admission requirements beginning with the Spring semester of 2022. Any student applying to a University System of Georgia school in 2022 and beyond will have to submit an SAT or ACT test score. However, students applying to Georgia Southern with a 3.2+ GPA may be considered without scores.",18701,90.55%,1010–1190,18–24
Montclair State,Yes,All / Permanent Policy,"Montclair State offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",18691,90.75%,1010–1205,—
University of North Carolina—Greensboro,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,10696,90.83%,1100–1235,21–26
Utah State,Yes,"2021, 2022",USU has extended their temporary test optional policy to the Fall 2022 semester..,15276,90.95%,1050–1310,21–28
California State University—San Bernardino,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",13057,90.97%,850–1030,14–20
Humboldt State University,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",7025,91.07%,1023–1258,22–29
Iowa State University,Yes,All / Permanent Policy,"Iowa State is test optional, which means eligible students can apply for admission without SAT or ACT scores.",20357,91.12%,1100–1320,21–28
Stetson University,Yes,All / Permanent Policy,"Stetson University offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",9260,91.64%,1010–1230,20–26
College of St. Benedict,Yes,All / Permanent Policy,"The College of Saint Benedict offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students, students who attend schools with nontraditional grading systems, and applicants to the Nursing Early Admission Program are not eligible for test optional admission.",1704,91.84%,1040–1255,21–27
Duquesne University,Yes,All / Permanent Policy,"Duquesne offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores.",9634,91.93%,1160–1290,24–29
Loyola University Chicago,Yes,All / Permanent Policy,"Loyola University Chicago offers a test optional policy, which allows students to be considered for admission without standardized test scores. However, students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.",31597,92.15%,1180–1350,27–32
Hope College,Yes,"2021, 2022",Hope College has extended their temporary test optional policy to the 2021–22 admission cycle.,4172,92.38%,1120–1330,25–32
University of Kansas,Yes*,All / Permanent Policy,"The University of Kansas requires either the SAT or the ACT. However, they will waive the requirement for students with a 3.4+ GPA. It does not require the optional ACT Writing Test.",15275,92.5%,1090–1320,21–29
Virginia Commonwealth University,Yes,All / Permanent Policy,"Virginia Commonwealth University offers a test optional policy, which allows students to apply without SAT or ACT scores. However, submission of test scores remains a requirement for all Guaranteed Admission Programs in the Honors College. All first-year applicants will be considered for scholarships as long as other scholarship consideration requirements are met. It does not require the optional ACT Writing Test.",17726,92.71%,1080–1300,20–29
California State University—Monterey Bay,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",10026,92.81%,1018–1210,21–29
Goshen College,Yes,All / Permanent Policy,"Goshen offers a test optional policy, which allows students to apply for admission without SAT/AC scores.",979,92.85%,1000–1288,21–31
Valparaiso University,Yes,"2021, 2022",Valparaiso has adopted a two-year test optional policy. They will reevaluate their policy after the 2022 admission cycle.,6095,93.17%,—,—
University of Oregon,Yes,All / Permanent Policy,"The University of Oregon offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission.",31558,93.42%,1120–1330,22–30
California State University—Sacramento,Yes (TF),All / Permanent Policy,"The Cal State system offers a test free policy, meaning they will not consider SAT or ACT scores in the admissions process.",22653,93.75%,880–1100,16–24
East Carolina,Yes,"2021, 2022, 2023, 2024",The UNC System has reinstated their temporary test optional policy through Fall 2024.,21898,93.93%,1000–1200,17–23
University of Montana,Yes,All / Permanent Policy,"University of Montana offers a test optional policy, which allows students to be considered for admission without SAT/ACT scores.",4910,93.97%,1055–1245,20–26
University of Kentucky,Yes,"2021, 2022, 2023, 2024",UK has extended their temporary test optional policy to students entering in the 2024–25 school year.,21695,94.01%,1080–1310,22–29
University of Memphis,Yes,"2021, 2022",UM has extended their temporary test optional policy to the Fall 2022 semester.,14914,95.21%,—,—
Kansas State University,Yes*,All / Permanent Policy,"Kansas State requires either the SAT or ACT. However, they will waive the requirement for students with a 3.25+ GPA. It does not require the optional ACT Writing Test.",9822,95.61%,—,20–26
Old Dominion University,Yes*,All / Permanent Policy,"ODU offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, not all applicants may be eligible for test optional admission. Please check with the university.",13586,96.23%,1020–1220,20–27
University of Maine,Yes,"2021, 2022","University of Maine has adopted a two-year, test optional policy for first-year and transfer applicants, beginning with the 2020-21 admission cycle. After a two-year period, UM will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.",14344,96.46%,1080–1270,22–30
University of Toledo,Yes,All / Permanent Policy,"University of Toledo offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, homeschooled students and students whose high schools do not provide grades are not eligible for test optional admission.",9893,96.52%,1050–1280,21–28
University of Wyoming,Yes,"2021, 2022, 2023",University of Wyoming has extended it's temporary test optional policy to the 2022–23 admission cycle.,5645,96.78%,1070–1270,21–27
University of Wisconsin—Milwaukee,Yes,"2021, 2022, 2023, 2024",The University of Wisconsin—Milwaukee has extended its temporary test optional policy to the 2024–25 admission cycle.,13242,97.53%,—,—
Portland State,Yes*,All / Permanent Policy,"Portland State offers a test optional policy, which allows students to be considered for admission without SAT or ACT scores. However, students who attended homeschool, or a non-accredited, non-standard high school are required to submit test scores.",6862,98.43%,1010–1270,17–26
Western Kentucky,Yes*,All / Permanent Policy,"WKU requires either the SAT or ACT. However, it will waive this requirement for students who have a 2.5+ GPA.",7255,98.48%,950–1150,19–25
University of Texas—El Paso,Yes*,All / Permanent Policy,"UTEP requires either the SAT or ACT. However, it will waive this requirement for students who rank in the top 10% of their class.",10972,99.99%,900–1110,17–22
Weber State,Yes,All / Permanent Policy,"Weber State University offers a test optional policy, which allows first-year applicants to be considered for admission without SAT or ACT scores. However, scores are recommended to help determine scholarship eligibility and Math & English placement.",6861,100%,—,18–25
